titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda,modalidad,ciudad,salario_min,salario_max,salario_medio,es_outlier
desarrollador/a java angular,cas training,100% en remoto,30.000€ - 42.000€ b/a,indefinido,"java, springboot, angular",analista-programador,En Remoto,100% en remoto,30000.0,42000.0,36000.0,False
desarrollador/a node/angular/typescript,grupo ns,barcelona (híbrido),,indefinido,"angular, aws, docker",analista-programador,Híbrido,barcelona,,,,False
"analista funcional banca créditos, jira",serem,barcelona (híbrido),,indefinido,"cobol, jira",analista-programador,Híbrido,barcelona,,,,False
backend developer node.js o .net 8 / asp.net / ia,panel sistemas informáticos,100% en remoto,,indefinido,"node.js, .net, asp.net core",analista-programador,En Remoto,100% en remoto,,,,False
fullstack java/angular,grupo ns,100% en remoto,,indefinido,"java, angular, kafka",analista-programador,En Remoto,100% en remoto,,,,False
programador/a java. ingles alto,grupo ns,100% en remoto,45.000€ - 54.000€ b/a,indefinido,"java, oracle",analista-programador,En Remoto,100% en remoto,45000.0,54000.0,49500.0,False
programador/a angular material (java/ia),grupo ns,100% en remoto,39.000€ - 45.000€ b/a,indefinido,"java, angular, jenkins",analista-programador,En Remoto,100% en remoto,39000.0,45000.0,42000.0,False
fullstack node.js/angular,hays,barcelona (híbrido),,indefinido,"node.js, angular, apis",analista-programador,Híbrido,barcelona,,,,False
analista programador/funcional cobol,pss,100% en remoto,30.000€ - 33.000€ b/a,indefinido,"cobol, sql, unix",analista-programador,En Remoto,100% en remoto,30000.0,33000.0,31500.0,False
analista programador en asp.net,accuro technology,madrid (híbrido),30.000€ - 36.000€ b/a,indefinido,".net, asp.net",analista-programador,Híbrido,madrid,30000.0,36000.0,33000.0,False
senior full stack developer,oxon epidemiology,madrid (híbrido),,indefinido,"node.js, javascript, react",analista-programador,Híbrido,madrid,,,,False
tech lead - analista de integración,chakray,alicante (híbrido),,indefinido,"wso2, api, gravitee",arquitecto-tic,Híbrido,alicante,,,,False
software engineer appian,exdesis,madrid (híbrido),,indefinido,"appian, sql, ia",arquitecto-tic,Híbrido,madrid,,,,False
solutions architect specialist,ust,100% en remoto,,indefinido,"bpmn, javascript, angular",arquitecto-tic,En Remoto,100% en remoto,,,,False
solution architect - aws,cmv consultores,barcelona (híbrido),45.000€ - 48.000€ b/a,indefinido,"aws, solution architecture, cloud",arquitecto-tic,Híbrido,barcelona,45000.0,48000.0,46500.0,False
arquitecto sap basis,serem,100% en remoto,,indefinido,"sap basis, sap ecc, hana",arquitecto-tic,En Remoto,100% en remoto,,,,False
platform architect (devops),knowmad mood,100% en remoto,,indefinido,"google cloud platform, azure, kubernetes",arquitecto-tic,En Remoto,100% en remoto,,,,False
it solution architect,basf,madrid (híbrido),,indefinido,agile,arquitecto-tic,Híbrido,madrid,,,,False
technology cloud architect,accenture,madrid - españa,,indefinido,"aws, azure, google cloud platform",arquitecto-tic,No especificado,madrid,,,,False
integration solution architect / system,sg tech,madrid - españa,,indefinido,"aws, apis rest, soap",arquitecto-tic,No especificado,madrid,,,,False
arquitecto/a infraestructura it,cmv consultores,100% en remoto,,indefinido,"jira, itsm",arquitecto-tic,En Remoto,100% en remoto,,,,False
ingeniero/a de software backend,gmv,madrid (híbrido),,indefinido,"java, microservicios, kafka",arquitecto-tic,Híbrido,madrid,,,,False
embedded platform support software architect,airbus,madrid - españa,,indefinido,"python, linux",arquitecto-tic,No especificado,madrid,,,,False
ingeniero/a arquitecto/a de datos,grupo digital,barcelona (híbrido),,indefinido,"datos, data",arquitecto-tic,Híbrido,barcelona,,,,False
arquitecto/a de observabilidad,grupo digital,barcelona (híbrido),,indefinido,"observabilidad, cloud",arquitecto-tic,Híbrido,barcelona,,,,False
sw engineer (c++/c#/python),page personnel,barcelona (híbrido),,indefinido,"c#, c++, python",arquitecto-tic,Híbrido,barcelona,,,,False
arquitecto servicios arquitectura datos (big data),cajamar tecnología,almería (híbrido),,indefinido,"oracle, sql server, postgresql",arquitecto-tic,Híbrido,almería,,,,False
genesys cloud architect / developer,panel sistemas informáticos,100% en remoto,,indefinido,"genesys cloud cx, genesys pure connect, ivr",arquitecto-tic,En Remoto,100% en remoto,,,,False
a/c security architect (d/f/m),airbus,madrid - españa,,indefinido,"magerit, pilar, nist",arquitecto-tic,No especificado,madrid,,,,False
solution architect canales asistidos,ust,madrid (híbrido),,indefinido,"solution architecture, cloud architecture",arquitecto-tic,Híbrido,madrid,,,,False
sr. software development engineer,amazon,madrid - españa,,indefinido,"java, c++, c#",arquitecto-tic,No especificado,madrid,,,,False
technical lead - adobe experience manager,michael page,españa,,indefinido,"adobe experience manager, aem",arquitecto-tic,No especificado,españa,,,,False
cloud lead - solutions architect servicenow,cognizant technology solutions,madrid - españa,,indefinido,servicenow,arquitecto-tic,No especificado,madrid,,,,False
empleo público – arquitecturas cloud,universidad de alicante,alicante - españa,,indefinido,cloud,arquitecto-tic,No especificado,alicante,,,,False
senior cloud architect / multi‑cloud,accenture,madrid - españa,,indefinido,"aws, azure, gcp",arquitecto-tic,No especificado,madrid,,,,False
typescript archtect - aws,page personnel,madrid - españa,72.000€ - 86.000€ b/a,indefinido,"typescrpt, aws",arquitecto-tic,No especificado,madrid,72000.0,86000.0,79000.0,False
arquitecto/a de ciberseguridad,gmv,madrid (híbrido),,indefinido,"ciberseguridad, redes, virtualización",arquitecto-tic,Híbrido,madrid,,,,False
arquitecto/a de ciberseguridad,sopra steria,madrid - españa,,indefinido,"ciberseguridad, cissp, ec council",arquitecto-tic,No especificado,madrid,,,,False
it solution architect for document management,airbus,madrid - españa,,indefinido,"filenet, java, angular",arquitecto-tic,No especificado,madrid,,,,False
arquitecto/a soluciones aws + catalán,grupo ns,100% en remoto,42.000€ - 54.000€ b/a,indefinido,aws,arquitecto-tic,En Remoto,100% en remoto,42000.0,54000.0,48000.0,False
sap solution architect,accenture,100% en remoto,,indefinido,sap,arquitecto-tic,En Remoto,100% en remoto,,,,False
salesforce architect,gfr technologies se,barcelona - españa,,indefinido,"salesforce, mulesoft",arquitecto-tic,No especificado,barcelona,,,,False
arquitecto/a cloud (aws) en remoto,digital talent agency,100% en remoto,,indefinido,"aws, ci/cd, jenkins",arquitecto-tic,En Remoto,100% en remoto,,,,False
arquitecto de software senior,cmv consultores,madrid (híbrido),54.000€ - 72.000€ b/a,indefinido,"spring boot, kafka, nosql",arquitecto-tic,Híbrido,madrid,54000.0,72000.0,63000.0,False
cloud architect,michael page,barcelona - españa,,indefinido,"azure, vmware, terraform",arquitecto-tic,No especificado,barcelona,,,,False
arquitecto empresarial,michael page,zaragoza (híbrido),,indefinido,"togaf, dama, azure",arquitecto-tic,Híbrido,zaragoza,,,,False
lead solution architect sap qm,michael page,barcelona (híbrido),,indefinido,"sap qm, sap mm, sap pp",arquitecto-tic,Híbrido,barcelona,,,,False
erp solution architect,michael page,españa,,indefinido,erp,arquitecto-tic,No especificado,españa,,,,False
microsoft f&o functional architect,hays,barcelona - españa,,indefinido,"dynamics 365, dynamics ax, power platform",arquitecto-tic,No especificado,barcelona,,,,False
lead engineer/solutions architect edtech,page personnel,barcelona - españa,80.000€ - 86.000€ b/a,indefinido,"api, ci/cd, cloud",arquitecto-tic,No especificado,barcelona,80000.0,86000.0,83000.0,False
cto / it digital transformation lead,michael page,madrid - españa,,indefinido,"ai, data analytics, cybersecurity",arquitecto-tic,No especificado,madrid,,,,False
arquitecto de soluciones empresariales,michael page,madrid (híbrido),80.000€ - 86.000€ b/a,indefinido,"java, .net, php",arquitecto-tic,Híbrido,madrid,80000.0,86000.0,83000.0,False
arquitecto/a backend java,knowmad mood,madrid (híbrido),,indefinido,"java, spring, kafka",arquitecto-tic,Híbrido,madrid,,,,False
senior data & ai architect / technical lead,deloitte,barcelona - españa,,indefinido,"genai, llm, openai",arquitecto-tic,No especificado,barcelona,,,,False
arquitecto/a de datos,gmv,madrid (híbrido),,indefinido,"ibm watsonx, azure, hadoop",arquitecto-tic,Híbrido,madrid,,,,False
solution architect senior,grupo digital,barcelona (híbrido),,indefinido,solution architect,arquitecto-tic,Híbrido,barcelona,,,,False
arch de plataforma de cómputo y contenedores,cajamar tecnología,almería - españa,,indefinido,"cka, ckad, cks",arquitecto-tic,No especificado,almería,,,,False
sap manufacturing & operations expert,michael page,barcelona (híbrido),,indefinido,"sap, hana, salesforce",arquitecto-tic,Híbrido,barcelona,,,,False
architect i - software testing,ust,madrid - españa,,indefinido,"qa, api, testing",arquitecto-tic,No especificado,madrid,,,,False
arquitecto cloud aws,grupo digital,madrid (híbrido),,indefinido,"aws, terraform, cloudformation",arquitecto-tic,Híbrido,madrid,,,,False
arquitecto/a java - sector seguros,knowmad mood,100% en remoto,,indefinido,"java, jakarta",arquitecto-tic,En Remoto,100% en remoto,,,,False
telecom engineer,baoss,madrid (híbrido),,indefinido,"adtech, tv, ott",arquitecto-tic,Híbrido,madrid,,,,False
lider técnico/a .net,gmv,madrid (híbrido),,indefinido,"c#, typescript, .net core",arquitecto-tic,Híbrido,madrid,,,,False
arquitecto .net,michael page,100% en remoto,60.000€ - 76.000€ b/a,indefinido,".net, c#, azure",arquitecto-tic,En Remoto,100% en remoto,60000.0,76000.0,68000.0,False
full stack .net/angular,sopra steria,madrid - españa,,indefinido,".net, angular, apis",arquitecto-tic,No especificado,madrid,,,,False
enterprise artificial intelligence architect,epam,barcelona - españa,,indefinido,"ai, ml, aws",arquitecto-tic,No especificado,barcelona,,,,False
arquitecto de software/datos,michael page,madrid (híbrido),54.000€ - 72.000€ b/a,indefinido,"java, kafka, rabbitmq",arquitecto-tic,Híbrido,madrid,54000.0,72000.0,63000.0,False
data architect,ey,madrid - españa,,indefinido,"azure data, onelake, ms fabric",arquitecto-tic,No especificado,madrid,,,,False
senior devops & kubernetes,panel sistemas informáticos,100% en remoto,,indefinido,"aws, azure, kubernetes",arquitecto-tic,En Remoto,100% en remoto,,,,False
ingeniero/a de i+d,gmv,madrid (híbrido),,indefinido,"iomt, python, c++",arquitecto-tic,Híbrido,madrid,,,,False
blockchain architect & protocol lead,ava one million films,canarias - sta. cruz de tenerife españa,30.000€ - 45.000€ b/a,indefinido,"solidity, rust, evm",arquitecto-tic,No especificado,canarias - sta. cruz de tenerife españa,30000.0,45000.0,37500.0,False
ios architect,plexus,100% en remoto,,indefinido,"swift, ios, xcode",arquitecto-tic,En Remoto,100% en remoto,,,,False
aws architect,plexus,madrid - españa,,indefinido,"aws, ecs",arquitecto-tic,No especificado,madrid,,,,False
azure cloud architect,plexus,madrid (híbrido),,indefinido,"azure, linux, windows",arquitecto-tic,Híbrido,madrid,,,,False
azure architect,plexus,madrid - españa,,indefinido,"azure, entraid, oauth",arquitecto-tic,No especificado,madrid,,,,False
cloud architect for gcp,plexus,madrid - españa,,indefinido,"gcp, bigquery",arquitecto-tic,No especificado,madrid,,,,False
arquitecto/a microseervicios springboot,tuyú technology,madrid (híbrido),48.000€ - 48.000€ b/a,indefinido,"java, springboot",arquitecto-tic,Híbrido,madrid,48000.0,48000.0,48000.0,False
arquitecto/a de software,grupo digital,barcelona (híbrido),,indefinido,"architecture, governance, software",arquitecto-tic,Híbrido,barcelona,,,,False
cloud architect (azure),page personnel,barcelona (híbrido),,indefinido,"azure, rabbitmq, kafka",arquitecto-tic,Híbrido,barcelona,,,,False
microsoft dynamics 365 solutions architect,michael page,madrid (híbrido),,indefinido,"dynamics 365, power platform, power apps",arquitecto-tic,Híbrido,madrid,,,,False
cloud solution architect (m/f/d),basf,madrid - españa,,indefinido,"angular, .net, c#",arquitecto-tic,No especificado,madrid,,,,False
arquitecto/a de software,gmv,madrid (híbrido),,indefinido,"java, spring, .net",arquitecto-tic,Híbrido,madrid,,,,False
ibm mainframe modernization solution architect,accenture,madrid - españa,,indefinido,"ibm, mainframe",arquitecto-tic,No especificado,madrid,,,,False
desarollador full-stack (prácticas),everlasting art,sevilla - españa,,prácticas,"php, laravel, react",desarrollador-web,No especificado,sevilla,,,,False
backend developer nodejs,cmv consultores,madrid (híbrido),,indefinido,"node, typescript, docker",desarrollador-web,Híbrido,madrid,,,,False
desarrollador rpg as/400,pss,100% en remoto,30.000€ - 36.000€ b/a,indefinido,"rpg, as/400, sql server",desarrollador-web,En Remoto,100% en remoto,30000.0,36000.0,33000.0,False
desarrollador/a angular (legacy),arelance,100% en remoto,30.000€ - 36.000€ b/a,indefinido,"angularjs, angular",desarrollador-web,En Remoto,100% en remoto,30000.0,36000.0,33000.0,False
desarrollador/a node js,serem,100% en remoto,,indefinido,"node, typescript, angular",desarrollador-web,En Remoto,100% en remoto,,,,False
desarrollador/a angular senior,arelance,madrid (híbrido),33.000€ - 39.000€ b/a,indefinido,"angular, jira, confluence",desarrollador-web,Híbrido,madrid,33000.0,39000.0,36000.0,False
desarrollador c++,social you,barcelona (híbrido),39.000€ - 48.000€ b/a,indefinido,"c++, mq, rest api",desarrollador-web,Híbrido,barcelona,39000.0,48000.0,43500.0,False
frontend software engineer (angular),hays,madrid (híbrido),,temporal,"angular, typescript, npm",desarrollador-web,Híbrido,madrid,,,,False
consultor/a react,invoin,alcobendas - madrid (híbrido),,indefinido,"react, javascript, html",desarrollador-web,Híbrido,alcobendas - madrid,,,,False
fullstack react / node /mongodb,second window,100% en remoto,,indefinido,"react, nodejs, mern",desarrollador-web,En Remoto,100% en remoto,,,,False
desarrollador/a frontend (angular),baoss,oviedo - asturias (híbrido),,indefinido,"html5, css3 javascript, typescript",desarrollador-web,Híbrido,oviedo - asturias,,,,False
desarrollador/a front (cells),sopra steria,madrid (híbrido),,indefinido,"cells, lit, html",desarrollador-web,Híbrido,madrid,,,,False
programador fullstack,panadero,albacete (presencial),24.000€ - 30.000€ b/a,indefinido,"wordpress, php, css",desarrollador-web,Presencial,albacete,24000.0,30000.0,27000.0,False
desarrollador/a spring+angular,baoss,madrid (híbrido),,indefinido,"java, spring boot, oracle",desarrollador-web,Híbrido,madrid,,,,False
senior frontend developer react,page personnel,barcelona (híbrido),,indefinido,"javascript, react, .net core",desarrollador-web,Híbrido,barcelona,,,,False
desarrollador/a (java / spring),arelance,sant cugat del vallès - barcelona (híbrido),39.000€ - 45.000€ b/a,indefinido,"java, spring, apis rest",desarrollador-web,Híbrido,sant cugat del vallès - barcelona,39000.0,45000.0,42000.0,False
full-stack developer,baoss,madrid (híbrido),,indefinido,"java, spring boot, angular",desarrollador-web,Híbrido,madrid,,,,False
desarrollador web wordpress con conocimientos seo,inmofinan,getafe - madrid - españa,,freelance/autónomo,"wordpress, html, css",desarrollador-web,No especificado,getafe - madrid,,,,False
desarrollador/a wordpress,serem,madrid (híbrido),,indefinido,"wordpress, php, html",desarrollador-web,Híbrido,madrid,,,,False
desarrollador/a javascript y litelement,tuyú technology,madrid (híbrido),27.000€ - 30.000€ b/a,indefinido,"litelement, cells, javascript",desarrollador-web,Híbrido,madrid,27000.0,30000.0,28500.0,False
desarrollador/a full stack java,cib labs,100% en remoto,,indefinido,"java, bootstrap, html5",desarrollador-web,En Remoto,100% en remoto,,,,False
senior full stack mern,,valencia (híbrido),,indefinido,"react, ness, node",desarrollador-web,Híbrido,valencia,,,,False
desarrollador/a tibco,baoss,madrid (híbrido),,indefinido,"tibco, java, c#",desarrollador-web,Híbrido,madrid,,,,False
frontend senior developer shopify,michael page,barcelona - españa,,a determinar,"shopify, html, css",desarrollador-web,No especificado,barcelona,,,,False
consultor/a java + angular,baoss,madrid (híbrido),,indefinido,"java, angular, jquery",desarrollador-web,Híbrido,madrid,,,,False
.net developer,baoss,100% en remoto,,indefinido,".net, .net core, c#",desarrollador-web,En Remoto,100% en remoto,,,,False
senior frontend developer vue.js,michael page,100% en remoto,39.000€ - 54.000€ b/a,indefinido,"vue, tailwind, css",desarrollador-web,En Remoto,100% en remoto,39000.0,54000.0,46500.0,False
frontend developer - litelements - web components,knowmad mood,100% en remoto,,indefinido,"litelements, html, css",desarrollador-web,En Remoto,100% en remoto,,,,False
desarrollador/a front-end (react / next.js),baoss,madrid (híbrido),,indefinido,"javascript, es6, react",desarrollador-web,Híbrido,madrid,,,,False
desarrollador/a sisnet,tuyú technology,madrid (híbrido),39.000€ - 42.000€ b/a,indefinido,sisnet,desarrollador-web,Híbrido,madrid,39000.0,42000.0,40500.0,False
desarrollador/a backend java,tuyú technology,barcelona (híbrido),27.000€ - 33.000€ b/a,indefinido,"java, springboot, quarkus",desarrollador-web,Híbrido,barcelona,27000.0,33000.0,30000.0,False
senior full stack developer (java/react),ust,madrid (híbrido),,indefinido,"java, spring boot, react",desarrollador-web,Híbrido,madrid,,,,False
desarrollador/a de aplicaciones,baoss,santander - cantabria (presencial),15.000€ - 30.000€ b/a,indefinido,.net,desarrollador-web,Presencial,santander - cantabria,15000.0,30000.0,22500.0,False
php/wordpress developer,feverup,100% en remoto,33.000€ - 54.000€ b/a,indefinido,"wordpress, php, mysql",desarrollador-web,En Remoto,100% en remoto,33000.0,54000.0,43500.0,False
senior mobile app developer,hays,valencia (híbrido),42.000€ - 45.000€ b/a,indefinido,"react native, express",desarrollador-web,Híbrido,valencia,42000.0,45000.0,43500.0,False
.net developer,hays,valencia (presencial),33.000€ - 36.000€ b/a,indefinido,.net,desarrollador-web,Presencial,valencia,33000.0,36000.0,34500.0,False
programador php,hays,valencia (híbrido),,indefinido,"php, symfony, html",desarrollador-web,Híbrido,valencia,,,,False
"fullstack engineer - c#, python, angular",kureos,madrid (híbrido),42.000€ - 54.000€ b/a,indefinido,"c#, python, javascript",desarrollador-web,Híbrido,madrid,42000.0,54000.0,48000.0,False
fullstack engineer,kureos,madrid (híbrido),45.000€ - 74.000€ b/a,indefinido,"c#, react, rabbitmq",desarrollador-web,Híbrido,madrid,45000.0,74000.0,59500.0,False
frontend developer - angular,hays,valencia (híbrido),,indefinido,"angular, html, css",desarrollador-web,Híbrido,valencia,,,,False
senior java developer,apolo it group,las rozas - madrid - españa,,indefinido,"java, aws, spring",desarrollador-web,No especificado,las rozas - madrid,,,,False
técnico senior .net,apolo it group,madrid - españa,,indefinido,"net, asp, mvc",desarrollador-web,No especificado,madrid,,,,False
tech lead .net,hays,valencia (híbrido),,indefinido,"c#, .net core, entity",desarrollador-web,Híbrido,valencia,,,,False
php (laravel) developer,hays,valencia (híbrido),33.000€ - 33.000€ b/a,indefinido,"php, laravel, docker",desarrollador-web,Híbrido,valencia,33000.0,33000.0,33000.0,False
fullstack developer - javascript,hays,valencia (híbrido),,indefinido,"javascript, typescript, node",desarrollador-web,Híbrido,valencia,,,,False
.net or c# developer zona alzira,hays,alcira - valencia (híbrido),42.000€ - 48.000€ b/a,indefinido,".net, c#",desarrollador-web,Híbrido,alcira - valencia,42000.0,48000.0,45000.0,False
cloud developer,hays,valencia (híbrido),45.000€ - 60.000€ b/a,indefinido,"aws, azure, python",desarrollador-web,Híbrido,valencia,45000.0,60000.0,52500.0,False
desarrollador front end,indra sistemas,madrid - españa,,indefinido,"javascript, angular, vue",desarrollador-web,No especificado,madrid,,,,False
desarrollador java,indra sistemas,madrid - españa,,indefinido,"java, xml, voip",desarrollador-web,No especificado,madrid,,,,False
programador .net,indra sistemas,madrid - españa,,indefinido,".net, sql, microsoft dynamics",desarrollador-web,No especificado,madrid,,,,False
programador/a php (laravel / symfony),the adecco group,100% en remoto,21.000€ - 33.000€ b/a,indefinido,"php, laravel, symfony",desarrollador-web,En Remoto,100% en remoto,21000.0,33000.0,27000.0,False
desarrollador java,talent search people,100% en remoto,,indefinido,"java, springboot",desarrollador-web,En Remoto,100% en remoto,,,,False
senior angular developer,talent search people,madrid - españa,,indefinido,"angular, angularjs, javascript",desarrollador-web,No especificado,madrid,,,,False
ingeniero/a pruebas automatizadas,the adecco group,madrid - españa,30.000€ - 39.000€ b/a,indefinido,"python, linux",desarrollador-web,No especificado,madrid,30000.0,39000.0,34500.0,False
fullstack con frances,sopra steria,100% en remoto,,indefinido,"java, nodejs, angular",desarrollador-web,En Remoto,100% en remoto,,,,False
senior frontend developer,the adecco group,granada - españa,21.000€ - 33.000€ b/a,indefinido,"javascript, vue.js, nuxt.js",desarrollador-web,No especificado,granada,21000.0,33000.0,27000.0,False
desarrollador java,apolo it group,oviedo - asturias - españa,,indefinido,"java, html, html5",desarrollador-web,No especificado,oviedo - asturias,,,,False
big data developer,apolo it group,madrid - españa,,indefinido,"java, unix, oracle",desarrollador-web,No especificado,madrid,,,,False
senior full-stack developer,the adecco group,santa cruz de tenerife - sta. cruz de tenerife españa,,indefinido,"net, c#, asp net",desarrollador-web,No especificado,santa cruz de tenerife - sta. cruz de tenerife españa,,,,False
desarrolladores java,stratio,madrid - españa,,indefinido,"java, spring boot, spring cloud",desarrollador-web,No especificado,madrid,,,,False
spark engineer,stratio,pozuelo - madrid - españa,,indefinido,"spark, hadoop, cassandra",desarrollador-web,No especificado,pozuelo - madrid,,,,False
arquitecto big data,stratio,pozuelo - madrid - españa,,indefinido,"scala, spark, hadoop",desarrollador-web,No especificado,pozuelo - madrid,,,,False
fullstack django + react,advisorsy robotizacion sl,valencia - españa,,indefinido,"python, django, rest",full-stack,No especificado,valencia,,,,False
desarrollador full stack,blister aplications,caldes de montbui - barcelona (híbrido),,indefinido,"react, python, java",full-stack,Híbrido,caldes de montbui - barcelona,,,,False
fullstack developer java/angular (catalan alto),grupo digital,barcelona (híbrido),,indefinido,"java, angular",full-stack,Híbrido,barcelona,,,,False
llm full stack engineer,accenture,madrid - españa,,indefinido,"llm, mlops, node",full-stack,No especificado,madrid,,,,False
fullstack developer (h/m),michael page,zaragoza (híbrido),,indefinido,"asp.net, vb, c#",full-stack,Híbrido,zaragoza,,,,False
fullstack senior developer (java/react),sopra steria,madrid - españa,,indefinido,"java, react, spring",full-stack,No especificado,madrid,,,,False
java fullstack developer,bnp paribas,madrid (híbrido),,indefinido,"java, spring",full-stack,Híbrido,madrid,,,,False
beca fullstack developers,bnp paribas,madrid (híbrido),,prácticas,"angular, node, javascript",full-stack,Híbrido,madrid,,,,False
desarrollador/a fullstack con francés,sopra steria,valencia - españa,,indefinido,"java, spring, angular",full-stack,No especificado,valencia,,,,False
desarrollador/a full-stack,aubay,barcelona (híbrido),,indefinido,"angular, spring, hibernate",full-stack,Híbrido,barcelona,,,,False
programador/a fullstack,hays,álava - españa,,indefinido,"python, react, typescript",full-stack,No especificado,álava,,,,False
junior full stack innovation engineer,factorial,barcelona - españa,,indefinido,"next.js, javascript, typescript",full-stack,No especificado,barcelona,,,,False
full stack developer (python),kratos growth,100% en remoto,,a determinar,"python, fastapi, react",full-stack,En Remoto,100% en remoto,,,,False
fullstack .net senior developer,page personnel,barcelona - españa,,indefinido,".net, c#",full-stack,No especificado,barcelona,,,,False
senior fullstack .net,hays,barcelona - españa,,indefinido,.net,full-stack,No especificado,barcelona,,,,False
fullstack developer (javascript/python),hays,lleida - españa,,indefinido,"javascript, typescript, html",full-stack,No especificado,lleida,,,,False
full stack (node.js react),hays,madrid - españa,,a determinar,"react, typescript, node",full-stack,No especificado,madrid,,,,False
full stack engineer (java/react),ust,madrid (híbrido),,indefinido,"java, springboot, sql",full-stack,Híbrido,madrid,,,,False
fullstack developer php (h/m),michael page,pontevedra - españa,,indefinido,"php, sql, cakephp",full-stack,No especificado,pontevedra,,,,False
desarrollador/a full stack .net,gmv,madrid (híbrido),,indefinido,".net, c#, wpf",full-stack,Híbrido,madrid,,,,False
full stack developer,ey,málaga (híbrido),,indefinido,"java, spring, angular",full-stack,Híbrido,málaga,,,,False
senior full stack,hays,madrid (híbrido),39.000€ - 45.000€ b/a,a determinar,"node, react, typescript",full-stack,Híbrido,madrid,39000.0,45000.0,42000.0,False
senior fullstack php,michael page,madrid (híbrido),30.000€ - 60.000€ b/a,indefinido,"php, symfony, html",full-stack,Híbrido,madrid,30000.0,60000.0,45000.0,False
java fullstack developer,hays,barcelona (híbrido),,indefinido,"java, angular",full-stack,Híbrido,barcelona,,,,False
angular full stack developer,knowmad mood,100% en remoto,,indefinido,"java, angular, udemy business",full-stack,En Remoto,100% en remoto,,,,False
full stack developer (.net/react),ust,madrid (híbrido),,indefinido,".net, react, azure",full-stack,Híbrido,madrid,,,,False
fullstack .net core / angular,knowmad mood,baleares (híbrido),,indefinido,".net, angular",full-stack,Híbrido,baleares,,,,False
fullstack developer .net / vuejs,knowmad mood,100% en remoto,,indefinido,".net, vue, asp.net",full-stack,En Remoto,100% en remoto,,,,False
fullstack developer react/node/graphql,hays,barcelona (presencial),,indefinido,"typescript, node.js, react",full-stack,Presencial,barcelona,,,,False
fullstack developer (javascript/php),hays,barcelona - españa,,indefinido,"php, javascript, react",full-stack,No especificado,barcelona,,,,False
programador senior fullstack php,akkodis,100% en remoto,,indefinido,"php, yii, mysql",full-stack,En Remoto,100% en remoto,,,,False
java fullstack engineer,akkodis,madrid (híbrido),,indefinido,"java, spring",full-stack,Híbrido,madrid,,,,False
full stack developer (node+angular),plexus,madrid - españa,,indefinido,"angular, node",full-stack,No especificado,madrid,,,,False
fullstack python developer,plexus,madrid - españa,,indefinido,python,full-stack,No especificado,madrid,,,,False
senior full stack angular+node,plexus,madrid - españa,,indefinido,"angular, node",full-stack,No especificado,madrid,,,,False
full stack java/react programmer,plexus,madrid - españa,,indefinido,"java, react, spring",full-stack,No especificado,madrid,,,,False
fullstack react + java springboot,plexus,madrid - españa,,indefinido,"react, java",full-stack,No especificado,madrid,,,,False
full stack developer,plexus,madrid - españa,,indefinido,"react, node, html",full-stack,No especificado,madrid,,,,False
perfil fullstack (javascript y nodejs),arelance,barcelona (híbrido),27.000€ - 30.000€ b/a,indefinido,"javascript, typescrit, vue3 nodejs",full-stack,Híbrido,barcelona,27000.0,30000.0,28500.0,False
node.js/angular senior fullstack,grupo sermicro,100% en remoto,,indefinido,"node.js, angular, mongodb",full-stack,En Remoto,100% en remoto,,,,False
fullstack developer,hays,barcelona - españa,,indefinido,"java, spring boot, apis rest",full-stack,No especificado,barcelona,,,,False
fullstack developer (java + angular),michael page,zaragoza - españa,,indefinido,"java, angular",full-stack,No especificado,zaragoza,,,,False
full stack developer stibo step (m/f/d),basf,madrid - españa,,indefinido,"stibo step, javascript, azure devops",full-stack,No especificado,madrid,,,,False
senior fullstack developer,hays,barcelona - españa,,indefinido,"java, c#, python",full-stack,No especificado,barcelona,,,,False
senior full stack engineer,panel sistemas informáticos,100% en remoto,,indefinido,"java, spring, jpa",full-stack,En Remoto,100% en remoto,,,,False
senior fullstack engineer,wayops,madrid - españa,,indefinido,"python, fastapi, django",full-stack,No especificado,madrid,,,,False
senior full stack engineer,epam,madrid - españa,,indefinido,"java, javascript, react",full-stack,No especificado,madrid,,,,False
full stack angular/nodejs,grupo sermicro,100% en remoto,,indefinido,"angular, nodejs, mongodb",full-stack,En Remoto,100% en remoto,,,,False
fullstack developer,grupo sermicro,100% en remoto,36.000€ - 48.000€ b/a,indefinido,"nodejs, typescript, aws",full-stack,En Remoto,100% en remoto,36000.0,48000.0,42000.0,False
senior shopware fullstack entwickler,allers technology,baleares - españa,,indefinido,"shopware, php, symfony",full-stack,No especificado,baleares,,,,False
fullstack .net / angular,adecco outsourcing,barcelona - españa,,indefinido,"net, angular",full-stack,No especificado,barcelona,,,,False
arquitecto fullstack,stratio,madrid - españa,30.000€ - 36.000€ b/a,indefinido,"jee, java, oracle",full-stack,No especificado,madrid,30000.0,36000.0,33000.0,False
devops engineer junior (1-2 años de experiencia),cas training,100% en remoto,24.000€ - 30.000€ b/a,indefinido,"devops, ci cd, github actions",devops,En Remoto,100% en remoto,24000.0,30000.0,27000.0,False
devops,arelance,barcelona (híbrido),,indefinido,"docker, kubernetes, helm",devops,Híbrido,barcelona,,,,False
aws devops,plexus,madrid - españa,,indefinido,"aws, github actions, argocd",devops,No especificado,madrid,,,,False
