titulo,empresa,ubicacion,salario,tipo_contrato,skills,busqueda
RWE Data Scientist,Sanofi,Barcelona (Híbrido),,Indefinido,"data, machine learning, Deep Learning",data-scientist
Analista Programador/Data Scientist/BI,Invoin,Alcobendas - Madrid (Híbrido),,Indefinido,"NodeJS, JavaScript, React",data-scientist
Big Data Developer (Fullstack - Backend Focus),Talan,Málaga - España,,Indefinido,"Big Data, Java, JavaScript",data-scientist
Data & AI Data Solutions Architect,GFR Technologies SE,Madrid - España,,Indefinido,"data, BI, Databricks",data-scientist
Senior Data & AI Consultant,EPAM,Madrid - España,,Indefinido,"Data, AI, Azure",data-scientist
Data Engineer especialista en Databricks,Deloitte,Zaragoza - España,,Indefinido,"Databricks, Unity Catalog, Workflows",data-scientist
Lead Solution Data Architect,EY,Madrid - España,,Indefinido,"Gen AI, Azure Data Services, Databricks",data-scientist
Data Engineer / Analytics Engineer,Michael Page,100% En remoto,,Indefinido,"Azure Data Factory, Microsoft Fabric, SQL",data-scientist
Senior Data Scientist,Plexus,Madrid - España,,Indefinido,"Python, AWS, Data Science",data-scientist
Senior Data Scientist (MLOps),EY,Madrid - España,,Indefinido,"Databricks, Python, Java",data-scientist
Senior Data Scientist Credit Modelling,BNP Paribas,Madrid - España,,Indefinido,data,data-scientist
Data Architect,GFR Technologies SE,Madrid - España,,Indefinido,"ETL, data",data-scientist
Data Engineer - EY GDS Spain,EY,Málaga (Híbrido),,Indefinido,"Databricks, DataFactory, Synapse",data-scientist
Senior AI Engineer,EPAM,Madrid - España,,Indefinido,"Python, LLM, Embeddings",data-scientist
Senior Information Architect - Commercial IT,AstraZeneca,Barcelona - España,,Indefinido,"Data Governance, Agile",data-scientist
Líder trazabilidad y calidad datos,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"AZURE, SQL, Big Data",data-scientist
Lead AI Engineer,GFR Technologies SE,Madrid - España,,Indefinido,"Python, Generative AI, Data Science",data-scientist
Principal Data Scientist (Machine Learning & AI),Sopra Steria,Madrid - España,,Indefinido,"Python, LLM, java",data-scientist
Big Data Developer,Talan,Málaga - España,,Indefinido,"SQL, java, PostgreSQL",data-scientist
Senior Data Engineer,EPAM,Madrid - España,,Indefinido,"Python, pandas, Polars",data-scientist
Data Scientist,Sanofi,Barcelona - España,,Indefinido,PySpark,data-scientist
Data Scientist,HAYS,Bizkaia (Híbrido),,Indefinido,"Python, FastAPI, Dash",data-scientist
Data Scientist / Data Machine Learning,UST,Madrid (Híbrido),,Indefinido,"machine learning, pyspark, python",data-scientist
Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,Madrid - España,,Indefinido,"Amazon Quicksight, Python, SQL",data-scientist
Data Scientist (end client company),Michael Page,Barcelona (Híbrido),,Indefinido,"Power BI, QlikView, Python",data-scientist
Data Scientist sector financiero,Page Personnel,Madrid (Híbrido),36.000€ - 45.000€ b/a,Indefinido,"Python, R",data-scientist
Junior Data Scientist,GFR Technologies SE,Valencia - España,,Indefinido,"Python, Pandas, NumPy",data-scientist
Data Engineer (AI & Data),CMV Consultores,100% En remoto,36.000€ - 45.000€ b/a,Indefinido,"SQL, ETL, BigQuery",data-scientist
Data Science Manager for Supply Chain,Accenture,Madrid (Híbrido),,Indefinido,"Python, R, SQL",data-scientist
Junior Data Scientist,Talan,Madrid (Híbrido),,Indefinido,"Python, PyTorch, TensorFlow",data-scientist
Data Engineer especialista en MS Fabric,Deloitte,Zaragoza - España,,Indefinido,"Fabric, SQL, NoSQL",data-scientist
Cloud Data Engineer AWS/Azure,Deloitte,Sevilla (Híbrido),,Indefinido,"AWS, Azure, SQL",data-scientist
Data Scientist - Remoto,Michael Page,100% En remoto,,Indefinido,"Machine Learning, MLOps, Docker",data-scientist
Data Engineer especialista en Snowflake,Deloitte,A Coruña - España,,Indefinido,"PySpark, SparkSQL, Python",data-scientist
Data Scientist - Python y Fabric,Page Personnel,Madrid (Presencial),,Indefinido,"Python, Fabric, Machine Learning",data-scientist
Data Scientist Consultant,Accenture,Barcelona - España,,Indefinido,"Python, R, SQL",data-scientist
Data & AI Strategy Data Science Analyst,Accenture,Madrid - España,,Indefinido,"Python, Machine Learning, SQL",data-scientist
Data Scientist / Artificial Intelligence,Airbus,Albacete - España,,Indefinido,"Python, Pandas, NumPy",data-scientist
Data Scientist,BNP Paribas,Madrid (Híbrido),,Indefinido,"Python, Excel",data-scientist
Data Scientist Analyst for Supply Chain,Accenture,Barcelona - España,,Indefinido,"Python, R, SQL",data-scientist
Senior Data Scientist,EY,Madrid - España,,Indefinido,"Generative AI, Natural Language Processing",data-scientist
Senior Data Engineer - Palantir Foundry,EPAM,Málaga - España,,Indefinido,"Palantir Foundry, PySpark, Python",data-scientist
Data Scientist,Veepee,Barcelona - España,,Indefinido,"Python, SQL, Pandas",data-scientist
Senior Data Scientist,Veepee,Barcelona - España,,Indefinido,"Python, SQL",data-scientist
Senior Data Scientist,Wallapop,Barcelona (Híbrido),,Indefinido,"ETL, Python, SQL",data-scientist
Senior Snowflake Engineer - Remote,UST,Madrid (Híbrido),,Indefinido,"snowflake, snowpipe, rbac",data-scientist
Software Developer - Murex Integration,Talan,Málaga (Híbrido),,Indefinido,murex,data-scientist
Senior AI Engineer with Italian,EY,Málaga - España,,Indefinido,"Python, SQL, FastAPI",data-scientist
Junior Support Engineer (Python/React),Talan,Málaga (Híbrido),,Indefinido,"Python, FastAPI, React",data-scientist
Senior Backend developer,Talan,Málaga - España,,Indefinido,"java, spring",data-scientist
Programador/a Python,Arelance,Madrid (Híbrido),24.000€ - 33.000€ b/a,Indefinido,"python, AWS, RAG",data-scientist
Cyber Security Framework Manager (m/f/d),BASF,Madrid - España,,Indefinido,"ciberseguridad, CISSP, CISM",data-scientist
DevOps Engineer,Atos,Madrid - España,,Indefinido,"CI/CD, Kubernetes, ArgoCD",data-scientist
AI Senior Specialist (m/f/d),BASF,Madrid - España,,Indefinido,"AI, LLM",data-scientist
DevOps/Platform Engineer,Atos,100% En remoto,,Indefinido,"CI/CD, Jenkins, GitLab",data-scientist
Machine Learning Engineer,Atos,Madrid - España,,Indefinido,"Python, Machine Learning, TensorFlow",data-scientist
Junior Support Engineer (.NET/React),Talan,100% En remoto,,Indefinido,".net, C#, react",data-scientist
Senior Full Stack Developer,Talan,Málaga - España,,Indefinido,"java, spring, Hibernate",data-scientist
Senior Threat Hunter,UST,100% En remoto,,Indefinido,"threat intelligence, penetration testing, Python",data-scientist
SSR Power Apps + Python Developer,Talan,Málaga (Híbrido),,Indefinido,"Python, Power Apps, Power Automate",data-scientist
AI Governance Engineer,GFR Technologies SE,Madrid - España,,Indefinido,"Inteligencia Artificial, ML, AWS",data-scientist
Ingeniero/a de Software .NET,GMV,Madrid (Híbrido),,Indefinido,".NET, C#, API",data-scientist
GenAI Engineer,EY,Málaga (Híbrido),,Indefinido,"GenAI, LLM, LangChain",data-scientist
Senior Nodejs/Angular - Full Stack Developer,Talan,Málaga (Híbrido),,Indefinido,"angular, node",data-scientist
Mid-level Backend Spark developer,Talan,Málaga - España,,Indefinido,"Spark, SQL, Scala",data-scientist
AI Specialist - Task Automation,Santander,Tarragona - España,,Indefinido,"GenAI, Python, TensorFlow",data-scientist
AI / Agentic Engineer - Senior,EY,Málaga (Híbrido),,Indefinido,"Python, Flask, FastAPI",data-scientist
Artificial Intelligence Lead - Insurance Domain,Santander,Madrid - España,,Indefinido,"Python, Inteligencia Artificial",data-scientist
Senior ML/AI Engineer,WIZELINE,Barcelona - España,,Indefinido,"Machine Learning, LLM, AI",data-scientist
Beca Análisis de Datos,BNP Paribas,Madrid - España,,Prácticas,"Excel, Python, SQL",data-scientist
Software Dev Engineer Machine Learning,Amazon,Madrid - España,,Indefinido,"Python, Java, C++",data-scientist
Firmware Embedded,HAYS,Barcelona (Híbrido),,Indefinido,"C, C++, RTOS",data-scientist
Software Development Engineer - 2026,Amazon,Madrid - España,,A determinar,"Java, Python, C++",data-scientist
Back-end Developer & Analyst,Atos,100% En remoto,,Indefinido,"java, Kotlin, API",data-scientist
Machine Learning Engineer 100% (f/m/d),Julius Baer,Madrid - España,,Indefinido,"Python, TensorFlow, PyTorch",data-scientist
AI Manager,EY,Madrid (Híbrido),,Indefinido,"Inteligencia Artificial, Gen AI",data-scientist
Senior Software Engineer - AI Platform,FeverUp,Madrid - España,,Indefinido,"LLM, OpenAI, Anthropic",data-scientist
Manager Generative AI,Accenture,Madrid - España,,Indefinido,"Generative AI, AI, GenAI",data-scientist
Junior SAP BW/4HANA Consultant,Julius Baer,Madrid - España,,Indefinido,"sap, hana",data-scientist
Lead DevOps Engineer,WayOps,Madrid - España,,Indefinido,"AWS, CI/CD, Python",data-scientist
Programador/a Junior SAS y/o R,Quental,100% En remoto,21.000€ - 24.000€ b/a,Indefinido,"SAS, R",data-scientist
AI Engineer (GenAI & LLMOps),WayOps,Madrid - España,,Indefinido,"GenAI, LLM, Python",data-scientist
Senior ML/LLM Engineer,Sopra Steria,Barcelona - España,,Indefinido,"LLM, Machine Learning, NumPy",data-scientist
Programador/a .NET y Python,The Adecco Group,Avilés - Asturias - España,,Temporal,"net, python",data-scientist
Data Business Analyst,knowmad mood,Madrid (Híbrido),,Indefinido,data,data-analyst
"Data Business Analyst Tableau, SQL",UST,Madrid (Híbrido),,Indefinido,"sql, tableau, data",data-analyst
Data Architect / Data Architecture Lead,Michael Page,Madrid (Híbrido),54.000€ - 72.000€ b/a,Indefinido,"Data, EDM, DWH",data-analyst
Data Analyst,Plexus,Madrid - España,,Indefinido,"data, BI",data-analyst
Power BI Analyst / BI Developer,Digital Talent Agency,A Coruña (Presencial),,Indefinido,"power bi, snowflake, etl",data-analyst
Senior BI Analyst,Michael Page,Madrid (Híbrido),,Indefinido,"Power BI, SQL, Synapse",data-analyst
Senior Data Analyst - 6 months,Michael Page,Madrid (Presencial),,Temporal,"Excel, SQL",data-analyst
Data Security Analyst Specialist,BASF,Madrid - España,,Indefinido,"Ciberseguridad, Python, SQL",data-analyst
"Data Analyst Power Automate, Power BI",UST,100% En remoto,,Indefinido,"sql server, power bi, power automate",data-analyst
"Data Analyst, EMEA",Criteo,Barcelona - España,,Indefinido,"Python, SQL",data-analyst
Data Analyst - Business Performance Analytics,Criteo,Barcelona - España,,Indefinido,"SQL, Python, Tableau",data-analyst
Data Analyst  - Gran proyecto,Michael Page,Madrid (Híbrido),,Indefinido,Power BI,data-analyst
Data Analyst (Sector Automocion),Michael Page,100% En remoto,30.000€ - 33.000€ b/a,Indefinido,"Power BI, Excel, SQL",data-analyst
Data Analyst - Credit Risk & Underwriting,Ebury,Madrid (Híbrido),,Indefinido,"SQL, Python, dbt",data-analyst
Senior Data Analyst (f/m/d),Axpo Group,Madrid (Híbrido),,Indefinido,"Python, SQL, BI",data-analyst
Lead Data Analyst,Plexus,Madrid - España,,Indefinido,SQL,data-analyst
Product Owner / Data analyst,Michael Page,Zaragoza (Presencial),,Indefinido,"SQL, Python, R",data-analyst
Data Analyst,EY,Málaga (Híbrido),,Indefinido,"Power BI, Qlik, SQL",data-analyst
Senior Data Analyst (English Mandatory),Sopra Steria,Barcelona - España,,Indefinido,"SQL, Python, R",data-analyst
SQL Server/Data Analyst and BI Developer,The Adecco Group,Santa Cruz De Tenerife - Sta. Cruz De Tenerife España,,Indefinido,"sql, bi, azure",data-analyst
APPIAN Senior Developer,Accenture,Madrid - España,,Indefinido,"Appian, BPM",data-analyst
RPA Developer / Digital Enablement Analyst,Michael Page,Barcelona (Híbrido),,Indefinido,"RPA, UiPath, Python",data-analyst
Salesforce Project Manager,Michael Page,Barcelona (Híbrido),,Indefinido,"Salesforce, Veeva CRM, Project",data-analyst
IT Business Analyst (procesos de compra),Michael Page,Barcelona (Híbrido),,Indefinido,"SAP, hana, abap",data-analyst
SAP Security Analyst S/4HANA & GRC,Grupo Digital,Madrid (Híbrido),,Indefinido,"sap grc, hana, sap",data-analyst
Cloud Engineer / Cloud Ops,Accenture,Madrid - España,,Indefinido,"Azure, AWS, GCP",data-analyst
Power BI Analist and Developers - DAX,Michael Page,Madrid (Híbrido),,Indefinido,"Power BI, DAX, RLS",data-analyst
Model Validation Quantitative Analyst,Julius Baer,Madrid - España,,Indefinido,"Python, R, SQL",data-analyst
RPA Developer,Page Personnel,Barcelona (Híbrido),,Indefinido,"RPA, UiPath, Python",data-analyst
SAP Finance FI/CO Senior Consultant,EY,Málaga - España,,Indefinido,"SAP CO, SAP ECC, S/4HANA",data-analyst
Cybersecurity and IT Risk Engineer - Vulnerability,BNP Paribas,Madrid - España,,Indefinido,"OWASP, ISO 27001, IEC 27001",data-analyst
Cybersecurity and IT Risk Engineer,BNP Paribas,Madrid - España,,Indefinido,"OWASP, ISO 27001, IEC 27001",data-analyst
Frontend Developer React - GraphQL,HAYS,Barcelona (Híbrido),,Indefinido,"react, GraphQL, TypeScript",data-analyst
Technical Business Analyst (T24/Temenos),UST,100% En remoto,,Indefinido,"Temenos, T24, InfoBasic",data-analyst
IT Governance Analyst,HAYS,100% En remoto,,A determinar,"TOGAF, Ardoq, LeanIX",data-analyst
IT Applications Project Manager,Michael Page,Barcelona (Híbrido),,Indefinido,"MS Project, Jira, Agile",data-analyst
IT Risk & Cybersecurity Engineer - CSIRT Analyst,BNP Paribas,Madrid (Híbrido),,Indefinido,"ciberseguridad, SOAR, SecOps",data-analyst
Appian Senior Developer,Accenture,Madrid - España,,Indefinido,"Appian, BPM",data-analyst
SAP Analytics Sr Analyst,Accenture,Sevilla - España,,Indefinido,SAP,data-analyst
IT Business Analyst,Sopra Steria,Barcelona - España,,Indefinido,"scrum, Confluence, JIRA",data-analyst
Senior Data Engineer (Azure + Databricks),GlobalSysInfo,Barcelona (Híbrido),30.000€ - 45.000€ b/a,Indefinido,"Azure Data Lake Storage, Data Factory, Databricks",data-engineer
Senior Data Engineer - ADA / AWS / Control-M,GlobalSysInfo,100% En remoto,30.000€ - 60.000€ b/a,Indefinido,"Kirby, Hammurabi, ControlM",data-engineer
Data Engineer / Backend Developer,CAS TRAINING,100% En remoto,39.000€ - 45.000€ b/a,Indefinido,"Azure Databricks, Spark, PySpark",data-engineer
Senior Data Engineer / Technical Lead,Santander,Madrid - España,,Indefinido,"ETL, Python, Spark",data-engineer
Senior Data Platform Engineer,Ebury,Madrid (Híbrido),,Indefinido,"Python, SQL, Graph database",data-engineer
Data Engineer,Sopra Steria,Madrid - España,,Indefinido,"ETL, azure, Databricks",data-engineer
Data Engineer (h/m),Michael Page,100% En remoto,39.000€ - 54.000€ b/a,Indefinido,"ETL, BI, SQL",data-engineer
Data Engineer - Snowflake,Aubay,100% En remoto,,Indefinido,"SQL, Snowflake, SAP IQ",data-engineer
Data Engineer,Page Personnel,Madrid (Presencial),,Indefinido,"SQL, NoSQL, ETL",data-engineer
Senior Data Engineer,UST,Madrid (Híbrido),,Indefinido,"Dataiku, SQL, Python",data-engineer
Data Engineer - Data pipelines,Arelance,100% En remoto,33.000€ - 36.000€ b/a,Indefinido,"GitHub Actions, AWS DevOps, Data pipelines",data-engineer
Senior Data Engineer (f/m/d),Axpo Group,Madrid (Híbrido),,Indefinido,"Databricks, Azure, CI/CD",data-engineer
Data Engineer,Tuyú Technology,Madrid (Híbrido),36.000€ - 45.000€ b/a,Indefinido,"Azure, Databricks, ETL/ELT",data-engineer
Google Cloud Data Presales Engineer,Devoteam,100% En remoto,,Indefinido,"Google Cloud, BigQuery, Dataflow",data-engineer
Data Engineer Consultant,Deloitte,Barcelona (Híbrido),,Indefinido,"Azure Data Factory, Azure Data Lake Storage",data-engineer
Data Manager,Deloitte,Madrid (Híbrido),,Indefinido,"PySpark, SparkSQL, Python",data-engineer
Data Engineer,EY,Málaga (Híbrido),,Indefinido,"Python, SQL, Azure",data-engineer
Data Engineer with Snowflake,DAC.digital,100% En remoto,2.700€ - 6.000€ b/m,Freelance/Autónomo,"snowflake, git, agile",data-engineer
AI Systems Engineer (LLM & RAG Optimization),Airbus,Madrid - España,,Indefinido,"LLM, Python, RAG",data-engineer
Sr Software Development Engineer,Amazon,Madrid - España,,Indefinido,"Java, C++, C#",data-engineer
AI Engineer (Cloud Technologies),Deloitte,Madrid - España,,Indefinido,"Python, BigQuery, Google Cloud",data-engineer
Staff AI Engineer - Notebooks,Datadog,Madrid - España,,Indefinido,"AI, Machine Learning, ML",data-engineer
DATA ENGINEER,CAS TRAINING,Barcelona (Híbrido),30.000€ - 36.000€ b/a,Indefinido,"PYTHON, JAVA, SCALA",data-engineer
Consultor/a Data Engineer,EY,Madrid - España,,Indefinido,"ETL, SQL, Python",data-engineer
Data Engineer con Python e Inglés C1,sg tech,Madrid (Híbrido),,Indefinido,"Python, ETL, APIs REST",data-engineer
Data Engineer,Ebury,Madrid - España,,Indefinido,"Python, SQL, Airflow",data-engineer
Data Engineer,Sanofi,Barcelona (Híbrido),45.000€ - 76.000€ b/a,Indefinido,"Python, Shell, ETL",data-engineer
Data Engineer,Plexus,Madrid (Híbrido),,Indefinido,"SQL Server, Oracle, PostgreSQL",data-engineer
Senior Software Engineer - Data,Factorial,Barcelona - España,,Indefinido,"react, API",data-engineer
Data Engineer - ETL Development,Serem,100% En remoto,,Indefinido,"spark, scala, python",data-engineer
Senior Data Engineer,Page Personnel,100% En remoto,45.000€ - 54.000€ b/a,Indefinido,"Python, .NET, SQL",data-engineer
Data Engineer,Baoss,Barcelona (Híbrido),39.000€ - 42.000€ b/a,Indefinido,"Python, Pyspark, ETL",data-engineer
Principal Data Engineer (SQL/dbt),UST,Madrid - España,,Indefinido,"sql server, triggers, SQL",data-engineer
Data Engineer - Stress Testing,BNP Paribas,Madrid - España,,Indefinido,"SQL, Python",data-engineer
Snowflake Data Engineer,UST,Madrid (Híbrido),,Indefinido,"SnowFlake, ETL, SQL",data-engineer
Integration & Data Engineer,servex10,Sant Feliu Llobregat - Barcelona España,36.000€ - 39.000€ b/a,Indefinido,"API, REST, SOAP",data-engineer
Data engineer SQL POWER BI,CAS TRAINING,100% En remoto,30.000€ - 36.000€ b/a,Indefinido,"sql, power bi, power automate",data-engineer
Data Analytics Engineer Banca,PANEL Sistemas Informáticos,Málaga (Presencial),,Indefinido,"Python, SQL, Spark",data-engineer
Data Engineer BI (Junior),Grupo Digital,Barcelona (Híbrido),,Indefinido,"pentaho, sap bo, etl",data-engineer
Data Engineer Senior AWS,sg tech,Madrid (Híbrido),,Indefinido,"AWS, Python, Spark",data-engineer
Data Engineer (C1 Inglés),Second Window,Madrid - España,33.000€ - 39.000€ b/a,Indefinido,"PYTHON, AWS, SCALA",data-engineer
Data Engineer Senior – AWS | Big Data,PANEL Sistemas Informáticos,100% En remoto,,Indefinido,"AWS, S3, GLUE",data-engineer
Data Integration - Data Engineer,Airbus,Madrid - España,,Indefinido,"ETL, Python, Flask",data-engineer
Data Engineer (f/m/d),Axpo Group,Madrid (Híbrido),,Indefinido,"Python, ETL",data-engineer
Data Engineer experto en PySpark,PANEL Sistemas Informáticos,Tres Cantos - Madrid (Híbrido),,Indefinido,"PySpark, Python",data-engineer
Senior Data Engineer - SAP BI,Airbus,Albacete (Híbrido),,Indefinido,"sap, hana, PySpark",data-engineer
Data Engineer (Francés),Sopra Steria,Madrid (Híbrido),,Indefinido,"scala, spark",data-engineer
BI & Data Engineer,Geseme,Barcelona (Híbrido),,Indefinido,"Power BI, Fabric, Python",data-engineer
Data Engineer,GMV,Valladolid (Híbrido),,Indefinido,"Power BI, Talend, Prefect",data-engineer
Data Engineer (Spark / Databricks / Snowflake),Plexus,Madrid (Híbrido),,Indefinido,"Spark, Scala, PySpark",data-engineer
Senior Azure Database Platform Engineer,UST,Madrid (Híbrido),,Indefinido,"Oracle, Azure SQL, PostgreSQL",data-engineer
Data Engineer,FeverUp,Barcelona - España,,Indefinido,"Python, SQL, Airflow",data-engineer
Data Engineer Airflow,Plexus,Madrid - España,,Indefinido,"Airflow, DBT, SQL",data-engineer
Data Engineer + Backend,Plexus,100% En remoto,,Indefinido,"Java, Spring, Python",data-engineer
Data Engineer (AWS),Plexus,Madrid - España,,Indefinido,"Python, ETL, AWS",data-engineer
Data Engineer Airflow + DBT + SQL,Plexus,100% En remoto,,Indefinido,"Airflow, SQL",data-engineer
Data & AI Strategy Knowledge Graph Engineer,Accenture,Madrid (Híbrido),,Indefinido,"Python, LLM, SPARQL",data-engineer
Junior Data Engineer - Analitycs,Michael Page,Madrid - España,27.000€ - 33.000€ b/a,Indefinido,"ETL, PySpark, SQL",data-engineer
Senior Data Engineer - DBT,Accenture,Madrid - España,,Indefinido,"DBT, SQL, Oracle",data-engineer
Data Engineer AWS Data Services,UST,100% En remoto,,Indefinido,"Scala, Spark, AWS",data-engineer
"Data Engineer Internship - Esp, Amazon University",Amazon,Barcelona - España,,A determinar,"Java, Python, C++",data-engineer
Senior Data Engineer,Deloitte,Madrid - España,,Indefinido,"PySpark, SparkSQL, Python",data-engineer
Data Engineering,Santander,Madrid - España,,Indefinido,"PySpark, Spark",data-engineer
Senior Data Engineer (Data Scraping),WayOps,Madrid - España,,Indefinido,"Playwright, Selenium, BeautifulSoup",data-engineer
Data Science/MLOps Engineer,Accenture,Madrid - España,,Indefinido,"Python, Machine Learning",data-engineer
QA Software tester Engineer,Merkle,Barcelona - España,21.000€ - 30.000€ b/a,Indefinido,"QA, JIRA, Agile",data-engineer
Machine Learning Scientist,Amazon,Barcelona - España,,Indefinido,"Machine Learning, Python, Java",machine-learning
"Machine Learning Engineer, Amazon Tablets",Amazon,Madrid - España,,Indefinido,"Machine Learning, JAX, PyTorch",machine-learning
INTERNSHIP Machine Learning for Stress Analyses,Airbus,Madrid - España,,A determinar,"Python, Machine Learning",machine-learning
Machine Learning Scientist / Applied Scientist,Amazon,Barcelona - España,,Indefinido,"Python, Java, C++",machine-learning
Senior Machine Learning Engineer,Accenture,Madrid - España,,Indefinido,"Machine Learning, LLM, LangChain",machine-learning
"Director, AI Research",AstraZeneca,Barcelona - España,,Indefinido,"Machine Learning, Deep Learning",machine-learning
Edge AI & Computer Vision Electrical Engineer,,Madrid - España,,Indefinido,"Computer Vision, Machine Learning, Jetson",machine-learning
Senior AI & ML Engineer / Generative AI,Accenture,Madrid (Híbrido),,Indefinido,"inteligencia artificial, machine learning",machine-learning
Líder Técnico de IA Segmento Terrestre,GMV,Madrid (Híbrido),,Indefinido,"Inteligencia Artificial, Machine Learning, LLMs",machine-learning
IA Developer,HAYS,Madrid (Híbrido),,A determinar,"Machine Learning, Deep Learning, LLM",machine-learning
"Digital, Data & Tech Path - Spain Graduate Program",Sanofi,Barcelona - España,,Indefinido,"AI, Machine Learning",machine-learning
Project Manager AI,Baoss,Barcelona (Híbrido),,Indefinido,"Gen AI, Machine learning, data",machine-learning
Responsable de negocio de dato (h/m),Michael Page,Pontevedra - España,,Indefinido,"Power BI, Power Query, DAX",machine-learning
Senior Systems Engineer / Pipeline Architect,Serena,Madrid (Presencial),,Indefinido,"Networking, VPN, Firewall",machine-learning
PhD Researcher en IA,HAYS,Barcelona - España,,Indefinido,"Inteligencia Artificial, IA generativa, Python",machine-learning
Senior Software Development Engineer,Amazon,Barcelona - España,,Indefinido,"Java, C++, C#",machine-learning
Jefe Proyecto Plataforma Cognitiva IA,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"IA, Machine Learning, NLP",machine-learning
Software Developper Engineer II,Amazon,Madrid - España,,Indefinido,"AWS, Machine Learning, Javascript",machine-learning
Líder de Innovación en IA,GMV,Madrid (Híbrido),,Indefinido,"Inteligencia Artificial, IA generativa, Python",machine-learning
AI Architect,Airbus,Madrid - España,,Indefinido,"Artificial Intelligence, Machine Learning, DevOps",machine-learning
AI Architect,WayOps,Madrid - España,,Indefinido,"PySpark, Machine Learning, Python",machine-learning
Desarrollador/a .NET,Devoteam,100% En remoto,,Indefinido,".net, C#, ASP.NET",machine-learning
Enterprise Architect Data,Accenture,Barcelona - España,,Indefinido,data,machine-learning
Applied AI Engineer,Santander,Tarragona - España,,Indefinido,"Python, LangGraph, AutoGen",machine-learning
2026-2027 INTERNSHIP Artificial Inteligence,Airbus,Madrid - España,,A determinar,"C++, Fortran, Python",machine-learning
Analista - Programador/a,Alcampo,Zaragoza (Híbrido),,Indefinido,"Java, Python, Google Cloud Platform",machine-learning
Ingeniero/a de Aplicaciones de IA,sg tech,100% En remoto,,Indefinido,"Python, LLM, LangChain",machine-learning
Ingeniero/a Inteligencia Artificial,Arelance,Barcelona (Híbrido),39.000€ - 45.000€ b/a,Indefinido,"python, gen IA, LLM",machine-learning
Consultor/a Senior Espacios de Datos Salud,Atos,Madrid - España,,Indefinido,"HL7, FHIR",machine-learning
Desarrollador Flutter y Kotlin,Devoteam,Madrid - España,,Indefinido,"Kotlin, Flutter",machine-learning
Data Architect,Sopra Steria,Madrid - España,,Indefinido,"python, spark, SQL",machine-learning
Ingeniero IA,Page Personnel,Madrid - España,60.000€ - 72.000€ b/a,Indefinido,"TensorFlow, PyTorch, Python",machine-learning
Desarrollador/a de Inteligencia Artificial,Aubay,Barcelona - España,,Indefinido,"Python, LangChain",machine-learning
Ingeniero/a de Datos - Azure Databricks,CAS TRAINING,100% En remoto,33.000€ - 45.000€ b/a,Indefinido,"python, azure, databrikcs",machine-learning
Arquitecto/a de Datos (Sector Bancario),Michael Page,Madrid (Híbrido),,Temporal,"Snowflake, AWS, Data Lake",machine-learning
"Data, Analytics & GenAI - Entorn Internacional",Accenture,Barcelona - España,,Indefinido,"AWS, Azure, GCP",machine-learning
IA Senior Engineer,Michael Page,Madrid (Híbrido),48.000€ - 72.000€ b/a,Indefinido,"Java, Python, R",machine-learning
Computer Vision Engineer (IA),Page Personnel,Barcelona - España,,Indefinido,"Python, PyTorch, C++",machine-learning
Senior Fire Scientist (Python + IA),Michael Page,100% En remoto,48.000€ - 76.000€ b/a,Indefinido,"Python, R, ArcGIS",machine-learning
Google Cloud Platform Devops Engineer,Santander,Madrid - España,,Indefinido,"Docker, Kubernetes",machine-learning
Jefe de Proyecto - Plataforma Cognitiva,Cajamar Tecnología,Almería (Híbrido),,Indefinido,"PMP, PRINCE2, Scrum Master",machine-learning
Full Stack AI Engineer,UST,Madrid (Híbrido),,Indefinido,"Python, React, FastAPI",machine-learning
Data & Cloud Architect - Microsoft Fabric,Akkodis,100% En remoto,,Indefinido,"Microsoft Fabric, SQL, Azure",machine-learning
Robotics & Process Automation Engineer,Michael Page,Barcelona - España,,Indefinido,"ABB, SEPRO, PLC",machine-learning
Cloud Engineer,Devoteam,100% En remoto,,Indefinido,"AWS, EKS, Kafka",machine-learning
Ingeniero/a de IA,Michael Page,Sevilla - España,48.000€ - 60.000€ b/a,Indefinido,"Python, R",machine-learning
Ingeniero DevOps,Devoteam,Madrid - España,,Indefinido,"CI/CD, Terraform, Ansible",machine-learning
Pre-Sales AI Expert,UST,Madrid - España,,Indefinido,presales,machine-learning
"Ingeniero/a IA Generativa Python, LangChain, RAG",Grupo NS,Madrid (Híbrido),24.000€ - 33.000€ b/a,Indefinido,"python, docker, CI/CD",machine-learning
Simulation Software Engineer,Airbus,Madrid - España,,Indefinido,"C++, Python",machine-learning
Simulation Software Engineer (TADVS4),Airbus,Madrid - España,,Indefinido,"C++, Python",machine-learning
Simulation Software Engineer specialized C++,Airbus,Madrid - España,,Indefinido,"C++, Python",machine-learning
Scientist Responsible AI,Santander,Madrid - España,,Indefinido,"Python, PyTorch, TensorFlow",machine-learning
Desarrollador/a React (con Inglés),Devoteam,Madrid (Híbrido),,Indefinido,"React, React Native, Cloud",machine-learning
Programador/a Business Central,Michael Page,Córdoba (Híbrido),,Indefinido,"Business Central, ERP, Business Intelligence",business-intelligence
Consultor/a Funcional Business Central,LÃBERIT,A Coruña (Híbrido),,Indefinido,"Dynamics 365, Business Central, Navision",business-intelligence
